cod_colaborador,primeiro_nome,ultimo_nome,email,cpf,data_nascimento,endereco,cep
1,Olivia,Casa Grande,leocamara@example.net,431.759.026-34,1974-11-17,"Campo de da Cunha, 4 Vila Novo São Lucas 55231-491 Dias / PR",59492-995
2,Ana Vitória,Lima,anthonydias@example.org,364.821.579-55,1971-06-19,"Residencial Henrique Cavalcanti, 314 Carlos Prates 41108099 Vargas Verde / DF",84887256
3,Pietro,Vargas,joao-felipe78@example.net,165.409.827-20,1975-08-20,"Travessa Nunes, 67 Apolonia 73145303 Gomes do Amparo / PB",05184498
4,Luiz Fernando,Garcia,lfonseca@example.net,184.397.652-82,1978-09-07,"Trevo Anthony Gabriel Montenegro, 37 Fazendinha 84322259 Ribeiro / ES",51777-392
5,Juliana,Almeida,caiocardoso@example.net,928.540.167-85,1963-07-14,"Passarela de Peixoto, 204 Ernesto Nascimento 97723-692 Pinto / RO",25799-136
6,Helena,Cardoso,almeidanathan@example.net,862.401.375-53,1963-09-17,Viaduto José Pedro Pereira São Jorge 3ª Seção 68650863 Vieira de Vargas / MG,99162-473
7,Enzo,da Paz,mda-cunha@example.org,081.493.726-87,1986-07-27,"Distrito Lima, 944 Novo Aarão Reis 94636-887 Freitas / PI",44956213
8,Maitê,Viana,guilhermecunha@example.net,650.137.489-84,1987-04-21,Jardim Câmara Mariquinhas 90669849 Vasconcelos / TO,77038430
9,Nina,Moreira,luccarocha@example.org,530.172.864-44,1987-09-11,"Rua Albuquerque, 2 São Sebastião 89554-393 Guerra de Oliveira / AC",26818184
10,Carolina,Camargo,stephany94@example.net,769.812.345-64,1951-10-03,"Jardim Azevedo, 43 Virgínia 65880-434 Guerra / RO",18275-539
11,Vitor Gabriel,Cirino,melinasousa@example.org,394.165.728-37,1950-07-13,"Condomínio Barros, 19 Vila Santo Antônio Barroquinha 75957947 Teixeira / PE",63920-867
12,Valentina,Andrade,isabel27@example.org,875.906.134-01,1984-12-27,"Jardim de Cirino, 543 Pongelupe 52763-655 da Mota dos Dourados / CE",93143866
13,Matteo,Casa Grande,maria-juliaalbuquerque@example.org,672.954.813-46,1998-12-30,"Avenida de Gonçalves, 3 Beija Flor 47175455 Ferreira do Sul / PA",59399824
14,Daniela,Duarte,vvasconcelos@example.com,164.359.728-00,1993-10-20,"Travessa de Guerra, 2 Conjunto Floramar 35544-964 Vasconcelos de Fonseca / SC",62202-341
15,Otto,Cavalcante,gcaldeira@example.org,780.934.651-20,1993-07-27,Parque de das Neves Fazendinha 47228200 Duarte do Amparo / PB,87282-997
16,Luara,Moura,cecilia78@example.org,174.236.950-25,1986-04-10,"Morro da Paz, 18 Vila Madre Gertrudes 1ª Seção 74064-930 Correia das Pedras / PI",63266341
17,Lavínia,Pires,pietrateixeira@example.net,498.310.576-00,1961-06-14,"Vale Marcela da Mata, 673 Alta Tensão 2ª Seção 08021442 Siqueira de Albuquerque / ES",20735647
18,Esther,Martins,fariasenrico@example.org,046.983.175-84,1985-05-08,"Condomínio Vargas, 86 Goiania 37183764 Castro do Norte / SC",47435031
19,Ravy,Porto,aduarte@example.org,416.780.925-76,1952-06-07,"Feira Castro, 61 Funcionários 05281273 Novais da Praia / SE",30652407
20,Luna,Novais,vitoria73@example.net,285.973.640-92,1962-03-05,"Praia da Rocha, 68 Penha 86209593 Silveira de Minas / RO",38782-945
21,Julia,Ramos,henry18@example.net,102.986.543-42,1973-05-04,Via de Gomes Vila Do Pombal 89940-539 Albuquerque / DF,17058-650
22,Vitor,Moura,siqueiradiego@example.com,139.057.862-30,1990-10-17,"Estação de Novais, 661 Vila Independencia 2ª Seção 61228-685 Nascimento / RN",55855-665
23,Rodrigo,Nunes,fernandavargas@example.net,457.360.918-01,1984-01-06,"Lagoa Câmara, 15 Vila São Gabriel Jacui 88899-210 Fogaça de Cassiano / BA",59334419
24,Isabelly,Nunes,eduardosilveira@example.com,729.654.081-85,1987-10-27,"Parque de Barros, 6 Maravilha 61390-604 Dias / PI",58320679
25,Mirella,Borges,luanada-rocha@example.com,295.034.681-24,1992-03-12,Rodovia Luara Vasconcelos Vila Mangueiras 27837693 da Cruz / AP,65911665
26,Cecília,Correia,catarina90@example.com,257.413.069-34,1954-09-03,"Chácara de Camargo, 4 Vila Atila De Paiva 40514770 Costela da Prata / DF",88487920
27,Fernanda,Pacheco,da-cunhaluigi@example.org,439.086.712-13,1956-02-27,"Alameda da Rocha, 73 Santa Terezinha 57981238 Novais de Silva / AC",38457620
28,Cecilia,Rodrigues,daniela43@example.net,409.387.256-29,1952-10-13,"Conjunto de Borges, 48 Nova Floresta 92649578 Costela / RS",98324826
29,João Vitor,Rezende,anna-lizazevedo@example.net,812.790.653-03,1951-10-30,"Vereda de Sousa, 42 Camargos 20994999 Peixoto / ES",05172897
30,Evelyn,Cirino,emendonca@example.org,238.076.914-13,1961-04-29,"Campo Cavalcanti, 89 Vila Madre Gertrudes 1ª Seção 73660-965 Pimenta Verde / RN",81770388
